timestamp_iso,event,sensor_index,value,duration_sec
2025-08-14T23:46:31.737333,END,2,1178.0,0.024
2025-08-14T23:49:33.204201,START,2,-10.0,
2025-08-14T23:49:34.227401,END,2,929.0,1.023
2025-08-14T23:54:22.850540,START,2,-10.0,
2025-08-14T23:54:23.015725,END,2,1032.0,0.165
2025-08-14T23:54:55.528318,START,2,-10.0,
2025-08-14T23:54:55.700336,END,2,1032.0,0.172
2025-08-15T00:48:22.955117,START,2,-10.0,
2025-08-15T00:48:23.297074,END,2,1037.0,0.342
2025-08-15T00:48:41.709209,START,2,-10.0,
2025-08-15T00:48:42.732514,END,2,1004.0,1.023
2025-08-15T01:05:50.623219,START,2,-10.0,
2025-08-15T01:05:51.644635,END,2,1018.0,1.021
2025-08-15T01:54:51.185045,START,2,-10.0,
2025-08-15T01:54:51.355323,END,2,1098.0,0.170
2025-08-15T01:55:00.814754,START,2,-10.0,
2025-08-15T01:55:00.985381,END,2,990.0,0.171
2025-08-15T02:23:15.138356,START,2,-10.0,
2025-08-15T02:23:15.308149,END,2,1103.0,0.170
2025-08-15T03:46:59.498155,START,1,-10.0,
2025-08-15T03:46:59.670111,END,1,816.0,0.172
2025-08-15T04:36:38.536024,START,1,-10.0,
2025-08-15T04:36:38.707624,END,1,605.0,0.172
2025-08-15T05:09:43.528843,START,1,-10.0,
2025-08-15T05:09:44.550978,END,1,563.0,1.022
2025-08-15T05:52:48.936336,START,1,-10.0,
2025-08-15T05:52:49.107314,END,1,671.0,0.171
2025-08-15T06:00:12.287612,START,1,-10.0,
2025-08-15T06:00:12.309652,END,1,793.0,0.022
2025-08-15T06:27:19.533206,START,1,-10.0,
2025-08-15T06:27:20.557555,END,1,633.0,1.024
2025-08-15T06:53:18.762652,START,1,-10.0,
2025-08-15T06:53:19.957952,END,1,582.0,1.195
2025-08-15T07:24:40.452528,START,1,-10.0,
2025-08-15T07:24:40.793401,END,1,633.0,0.341
2025-08-15T07:40:53.217299,START,1,-10.0,
2025-08-15T07:40:53.381057,END,1,680.0,0.164
2025-08-15T07:41:10.738078,START,1,-10.0,
2025-08-15T07:41:10.909091,END,1,694.0,0.171
2025-08-15T07:47:23.487847,START,1,-10.0,
2025-08-15T07:47:24.513647,END,1,685.0,1.026
2025-08-15T07:50:32.739719,START,1,-10.0,
2025-08-15T07:50:32.762776,END,1,732.0,0.023
2025-08-15T07:55:11.307970,START,1,-10.0,
2025-08-15T07:55:11.331003,END,1,493.0,0.023
2025-08-15T08:39:06.853481,START,1,-10.0,
2025-08-15T08:39:07.876610,END,1,652.0,1.023
2025-08-15T08:44:54.149827,START,1,-10.0,
2025-08-15T08:44:54.171898,END,1,483.0,0.022
2025-08-15T08:45:07.054603,START,1,-10.0,
2025-08-15T08:45:08.078943,END,1,652.0,1.024
2025-08-15T08:58:39.887282,START,1,-10.0,
2025-08-15T08:58:39.909300,END,1,619.0,0.022
2025-08-15T09:07:49.070637,START,2,-10.0,
2025-08-15T09:07:49.405498,END,2,868.0,0.335
